TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.sivalabs.jblogger.domain.PostsResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96956619,378,370
com.sivalabs.jblogger.web.controllers.ErrorController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.916666667,32,26
com.sivalabs.jblogger.entities.Role,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.97789993,402,394
com.sivalabs.jblogger.config.JBloggerConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.983427257,427,422
com.sivalabs.jblogger.entities.Post,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.960164992,815,769
com.sivalabs.jblogger.entities.PageView,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.988318267,451,446
com.sivalabs.jblogger.entities.Tag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.976526234,316,308
com.sivalabs.jblogger.domain.BlogOverview,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.972844251,565,554
com.sivalabs.jblogger.utils.CommonUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,149,140
com.sivalabs.jblogger.domain.TimePeriod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.928571429,19,15
com.sivalabs.jblogger.JBloggerApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.579166667,40,15
com.sivalabs.jblogger.entities.Comment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.99024185,510,505
com.sivalabs.jblogger.exceptions.JBloggerException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,24,24
com.sivalabs.jblogger.entities.User,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.98306759,455,448
TOTALS,,0.940282952,4583,4436
