TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
net.sf.jniinchi.INCHI_STEREOTYPE,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.908928571,68,59
net.sf.jniinchi.JniInchiOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.986842105,101,99
net.sf.jniinchi.INCHI_BOND_TYPE,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.912337662,81,72
net.sf.jniinchi.INCHI_KEY_STATUS,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.939123377,81,75
net.sf.jniinchi.JniInchiInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.971354167,50,49
net.sf.jniinchi.JniInchiBond,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.993150685,154,150
net.sf.jniinchi.JniInchiStructure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.982753165,200,197
net.sf.jniinchi.INCHI_KEY,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.917582418,173,164
net.sf.jniinchi.JniInchiOutputStructure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,132,132
net.sf.jniinchi.JniInchiInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.977941176,41,38
net.sf.jniinchi.JniInchiInputInchi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.932142857,44,40
net.sf.jniinchi.INCHI_RET,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.946428571,132,126
net.sf.jniinchi.JniInchiOutputKey,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.964285714,48,46
net.sf.jniinchi.JniInchiStereo0D,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.983630952,240,230
net.sf.jniinchi.INCHI_RADICAL,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.908928571,68,59
net.sf.jniinchi.JniInchiAtom,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.984375,301,296
net.sf.jniinchi.INCHI_STATUS,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.941964286,96,90
net.sf.jniinchi.INCHI_BOND_STEREO,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.946428571,152,146
net.sf.jniinchi.INCHI_OPTION,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.941526611,72,67
net.sf.jniinchi.LoadNativeLibraryException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,18,18
net.sf.jniinchi.JniInchiException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,18,18
net.sf.jniinchi.INCHI_PARITY,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.912337662,81,72
TOTALS,,0.956911915,2351,2243
